Date,                                                    File name,Running time,         Clients,     Result,Z3 time,Waiting time,SIDecisionsTime,Inlining Call trees,,
,                                                   ,           ,                ,           ,43.29,35.27,4.5,14.39, rse-server-12,
,                                                   ,           ,                ,           ,35.72,48.22,3.06,11.08, rse-server-15,
8/31/2018 15:07,        data\61883_forwardedatbadirqlallocate_1.bpl,    111.07s,       4 clients,         RB,148.48,159.08,10.34,72.21,,
,                                                   ,           ,                ,           ,46.75,26.64,2.03,22.71, rse-server-13,
,                                                   ,           ,                ,           ,22.77,51.69,1.3,23.42, rse-server-14,
,                                                   ,           ,                ,           ,43.25,33.64,4.31,14.77, rse-server-12,
,                                                   ,           ,                ,           ,35.71,47.1,2.7,11.31, rse-server-15,
8/31/2018 15:41,        data\61883_forwardedatbadirqlallocate_1.bpl,    113.85s,       4 clients,         RB,159.85,144.29,11.72,83.62,,
,                                                   ,           ,                ,           ,46.22,31.25,2.41,20.38, rse-server-13,
,                                                   ,           ,                ,           ,29.81,35.05,1.61,34.66, rse-server-14,
,                                                   ,           ,                ,           ,44.07,28.61,4.39,21.52, rse-server-12,
,                                                   ,           ,                ,           ,39.75,49.38,3.31,7.06, rse-server-15,
8/31/2018 16:05,        data\61883_forwardedatbadirqlallocate_1.bpl,    105.42s,       4 clients,         RB,157.42,118.4,10.98,79.48,,
,                                                   ,           ,                ,           ,47.69,27.44,3.52,11.58, rse-server-13,
,                                                   ,           ,                ,           ,29.88,36.75,2.33,24.49, rse-server-14,
,                                                   ,           ,                ,           ,32.89,36.33,1.72,21.41, rse-server-12,
,                                                   ,           ,                ,           ,46.96,17.88,3.41,22, rse-server-15,
8/31/2018 16:08,        data\61883_forwardedatbadirqlallocate_1.bpl,    117.14s,       2 clients,         RB,122.26,37.49,9.84,28.42,,
,                                                   ,           ,                ,           ,48.33,26.11,3.48,20.81, rse-server-13,
,                                                   ,           ,                ,           ,73.93,11.38,6.36,7.61, rse-server-14,
8/31/2018 16:13,        data\61883_forwardedatbadirqlallocate_1.bpl,    111.07s,       4 clients,         RB,150.02,157.2,10.7,72.38,,
,                                                   ,           ,                ,           ,48.19,25.05,2.09,22.45, rse-server-13,
,                                                   ,           ,                ,           ,22.89,51.68,1.45,23.49, rse-server-14,
,                                                   ,           ,                ,           ,42.8,34.25,4.52,15, rse-server-12,
,                                                   ,           ,                ,           ,36.14,46.22,2.64,11.44, rse-server-15,
8/31/2018 16:29,        data\61883_forwardedatbadirqlallocate_1.bpl,    114.36s,       4 clients,         RB,159.64,151.65,11.53,80.1,,
,                                                   ,           ,                ,           ,46.99,29.16,1.89,23.19, rse-server-13,
,                                                   ,           ,                ,           ,28.53,40.69,1.38,30.88, rse-server-14,
,                                                   ,           ,                ,           ,47.91,31.69,5.13,14.94, rse-server-12,
,                                                   ,           ,                ,           ,36.21,50.11,3.13,11.09, rse-server-15,
8/31/2018 16:52,        data\61883_forwardedatbadirqlallocate_1.bpl,    114.03s,       4 clients,         RB,179.75,107.29,11.6,102.12,,
,                                                   ,           ,                ,           ,44.55,33.52,1.8,21.28, rse-server-13,
,                                                   ,           ,                ,           ,25.11,43.32,1.14,33.63, rse-server-14,
,                                                   ,           ,                ,           ,52.54,13.64,4.86,27.44, rse-server-12,
,                                                   ,           ,                ,           ,57.55,16.81,3.8,19.77, rse-server-15,
8/31/2018 17:11,                  data\cyyport_irpcancelfield_0.bpl,    542.23s,       3 clients,         RB,1125.29,88.29,103.84,101.46,,
,                                                   ,           ,                ,           ,364.25,27.74,37.67,40.89, rse-server-14,
,                                                   ,           ,                ,           ,356.62,44.96,41.86,24.19, rse-server-12,
,                                                   ,           ,                ,           ,404.42,15.6,24.31,36.38, rse-server-15,
8/31/2018 17:32,        data\61883_forwardedatbadirqlallocate_1.bpl,    115.23s,       4 clients,         RB,175.93,67.74,12.1,90.93,,
,                                                   ,           ,                ,           ,55.24,9.5,2.36,34.1, rse-server-13,
,                                                   ,           ,                ,           ,39.27,29.86,2.36,31.05, rse-server-14,
,                                                   ,           ,                ,           ,35.39,0,4.25,3.28, rse-server-12,
,                                                   ,           ,                ,           ,46.03,28.38,3.13,22.5, rse-server-15,
